hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1021574717937228960,p1,0,0,500,0,16,222,262,0,366,63,71,0,0,0,500,0
h00,1021574717937228960,p2,0,0,500,0,0,84,416,0,385,81,34,0,0,0,500,0
h00,1021574717937228960,p3,0,0,500,0,0,34,466,0,281,174,45,0,0,0,500,0
h00,1026591750036320836,p1,0,1,499,0,14,268,218,0,359,77,64,0,0,0,500,0
h00,1026591750036320836,p2,0,0,500,0,0,88,412,0,325,136,39,0,0,0,500,0
h00,1026591750036320836,p3,0,0,500,0,0,52,448,0,394,71,35,0,0,0,500,0
h00,103568543989312214,p1,0,0,500,0,19,265,216,0,374,71,55,0,0,0,500,0
h00,103568543989312214,p2,0,0,500,0,0,112,388,0,370,84,46,0,0,0,500,0
h00,103568543989312214,p3,0,0,500,0,0,34,466,0,377,81,42,0,0,0,500,0
h00,1059344429161942577,p1,0,0,500,0,14,251,235,0,362,85,53,0,0,0,500,0
h00,1059344429161942577,p2,0,0,500,0,0,109,391,0,359,111,30,0,0,0,500,0
h00,1059344429161942577,p3,0,0,500,0,0,49,451,0,366,93,41,0,0,0,500,0
h00,1061286463616756465,p1,0,1,499,0,15,240,245,0,356,68,76,0,0,0,500,0
h00,1061286463616756465,p2,0,0,500,0,0,81,419,0,334,124,42,0,0,0,500,0
h00,1061286463616756465,p3,0,0,500,0,0,49,451,0,336,127,37,0,0,0,500,0
h00,1077681494354284445,p1,0,0,500,0,12,220,268,0,393,57,50,0,0,0,500,0
h00,1077681494354284445,p2,0,0,500,0,0,82,418,0,349,106,45,0,0,0,500,0
h00,1077681494354284445,p3,0,0,500,0,0,54,446,0,302,153,45,0,0,0,500,0
h00,1125400568553395400,p1,0,0,500,0,11,245,244,0,367,80,53,0,0,0,500,0
h00,1125400568553395400,p2,0,0,500,0,0,88,412,0,375,80,45,0,0,0,500,0
h00,1125400568553395400,p3,0,0,500,0,0,28,472,0,318,134,48,0,0,0,500,0
h00,1125644244035275340,p1,0,0,500,0,13,249,238,0,369,62,69,0,0,0,500,0
h00,1125644244035275340,p2,0,0,500,0,0,95,405,0,371,92,37,0,0,0,500,0
h00,1125644244035275340,p3,0,0,500,0,0,50,450,0,347,120,33,0,0,0,500,0
h00,1133874929495765677,p1,0,0,500,0,11,269,220,0,390,58,52,0,0,0,500,0
h00,1133874929495765677,p2,0,0,500,0,0,113,387,0,334,127,39,0,0,0,500,0
h00,1133874929495765677,p3,0,0,500,0,0,68,432,0,360,104,36,0,0,0,500,0
h00,1152801672532746091,p1,0,1,499,0,7,271,222,0,357,48,95,0,0,0,500,0
h00,1152801672532746091,p2,0,1,499,0,1,99,400,0,381,32,87,0,0,0,500,0
h00,1152801672532746091,p3,0,0,500,0,0,58,442,0,361,40,99,0,0,0,500,0
h00,1159453151904288212,p1,0,4,496,0,12,292,196,0,376,80,44,0,0,0,500,0
h00,1159453151904288212,p2,0,0,500,0,0,112,388,0,305,157,38,0,0,0,500,0
h00,1159453151904288212,p3,0,0,500,0,0,57,443,0,360,106,34,0,0,0,500,0
h00,1159482635262466889,p1,0,0,500,0,11,263,226,0,376,72,52,0,0,0,500,0
h00,1159482635262466889,p2,0,0,500,0,0,98,402,0,369,79,52,0,0,0,500,0
h00,1159482635262466889,p3,0,0,500,0,0,37,463,0,371,100,29,0,0,0,500,0
h00,1187492628487565367,p1,0,1,499,0,9,242,249,0,368,80,52,0,0,0,500,0
h00,1187492628487565367,p2,0,0,500,0,0,101,399,0,293,162,45,0,0,0,500,0
h00,1187492628487565367,p3,0,0,500,0,0,48,452,0,337,125,38,0,0,0,500,0
h00,1188344642156280027,p1,0,0,500,0,12,256,232,0,384,59,57,0,0,0,500,0
h00,1188344642156280027,p2,0,0,500,0,0,100,400,0,356,106,38,0,0,0,500,0
h00,1188344642156280027,p3,0,0,500,0,0,38,462,0,317,148,35,0,0,0,500,0
h00,1194843192800477130,p1,0,0,500,0,13,251,236,0,366,75,59,0,0,0,500,0
h00,1194843192800477130,p2,0,0,500,0,0,79,421,0,359,106,35,0,0,0,500,0
h00,1194843192800477130,p3,0,0,500,0,0,57,443,0,318,135,47,0,0,0,500,0
h00,1230211016193901463,p1,0,2,498,0,16,284,200,0,381,72,47,0,0,0,500,0
h00,1230211016193901463,p2,0,0,500,0,0,98,402,0,327,149,24,0,0,0,500,0
h00,1230211016193901463,p3,0,0,500,0,0,53,447,0,351,115,34,0,0,0,500,0
h00,1288692866185240971,p1,0,1,499,0,22,226,252,0,361,80,59,0,0,0,500,0
h00,1288692866185240971,p2,0,0,500,0,0,96,404,0,364,84,52,0,0,0,500,0
h00,1288692866185240971,p3,0,0,500,0,0,35,465,0,391,69,40,0,0,0,500,0
h00,131151734433286475,p1,0,0,500,0,26,265,209,0,373,76,51,0,0,0,500,0
h00,131151734433286475,p2,0,0,500,0,0,132,368,0,349,119,32,0,0,0,500,0
h00,131151734433286475,p3,0,0,500,0,0,85,415,0,371,103,26,0,0,0,500,0
h00,1339284857137933822,p1,0,0,500,0,9,256,235,0,379,61,60,0,0,0,500,0
h00,1339284857137933822,p2,0,0,500,0,0,123,377,0,347,76,77,0,0,0,500,0
h00,1339284857137933822,p3,0,0,500,0,0,58,442,0,368,81,51,0,0,0,500,0
h00,1342378077608740105,p1,0,0,500,0,17,262,221,0,392,55,53,0,0,0,500,0
h00,1342378077608740105,p2,0,0,500,0,0,95,405,0,354,94,52,0,0,0,500,0
h00,1342378077608740105,p3,0,0,500,0,0,52,448,0,369,97,34,0,0,0,500,0
h00,1359395911007969527,p1,0,1,499,0,16,269,215,0,378,69,53,0,0,0,500,0
h00,1359395911007969527,p2,0,0,500,0,0,88,412,0,377,89,34,0,0,0,500,0
h00,1359395911007969527,p3,0,0,500,0,0,40,460,0,337,123,40,0,0,0,500,0
h00,1364957052074976682,p1,0,0,500,0,15,240,245,0,345,72,83,0,0,0,500,0
h00,1364957052074976682,p2,0,0,500,0,0,81,419,0,369,92,39,0,0,0,500,0
h00,1364957052074976682,p3,0,0,500,0,0,55,445,0,365,93,42,0,0,0,500,0
h00,1408911269877720474,p1,0,0,500,0,17,242,241,0,390,56,54,0,0,0,500,0
h00,1408911269877720474,p2,0,0,500,0,0,112,388,0,356,94,50,0,0,0,500,0
