hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1021574717937228960,p1,0,0,500,0,16,33,451,0,366,8,126,0,0,0,500,0
h00,1021574717937228960,p2,0,0,500,0,0,1,499,0,385,9,106,0,0,0,500,0
h00,1021574717937228960,p3,0,0,500,0,0,0,500,0,281,32,187,0,0,0,500,0
h00,1026591750036320836,p1,0,0,500,0,14,52,434,0,359,11,130,0,0,0,500,0
h00,1026591750036320836,p2,0,0,500,0,0,1,499,0,325,4,171,0,0,0,500,0
h00,1026591750036320836,p3,0,0,500,0,0,0,500,0,394,12,94,0,0,0,500,0
h00,103568543989312214,p1,0,0,500,0,19,53,428,0,374,28,98,0,0,0,500,0
h00,103568543989312214,p2,0,0,500,0,0,1,499,0,370,55,75,0,0,0,500,0
h00,103568543989312214,p3,0,0,500,0,0,0,500,0,377,39,84,0,0,0,500,0
h00,1059344429161942577,p1,0,0,500,0,14,36,450,0,362,16,122,0,0,0,500,0
h00,1059344429161942577,p2,0,0,500,0,0,0,500,0,359,7,134,0,0,0,500,0
h00,1059344429161942577,p3,0,0,500,0,0,0,500,0,366,24,110,0,0,0,500,0
h00,1061286463616756465,p1,0,0,500,0,15,56,429,0,356,15,129,0,0,0,500,0
h00,1061286463616756465,p2,0,0,500,0,0,1,499,0,334,20,146,0,0,0,500,0
h00,1061286463616756465,p3,0,0,500,0,0,0,500,0,336,53,111,0,0,0,500,0
h00,1077681494354284445,p1,0,0,500,0,12,46,442,0,393,23,84,0,0,0,500,0
h00,1077681494354284445,p2,0,0,500,0,0,1,499,0,349,63,88,0,0,0,500,0
h00,1077681494354284445,p3,0,0,500,0,0,0,500,0,302,69,129,0,0,0,500,0
h00,1125400568553395400,p1,0,0,500,0,11,44,445,0,367,34,99,0,0,0,500,0
h00,1125400568553395400,p2,0,0,500,0,0,0,500,0,375,33,92,0,0,0,500,0
h00,1125400568553395400,p3,0,0,500,0,0,0,500,0,318,63,119,0,0,0,500,0
h00,1125644244035275340,p1,0,0,500,0,13,47,440,0,369,19,112,0,0,0,500,0
h00,1125644244035275340,p2,0,0,500,0,0,1,499,0,371,17,112,0,0,0,500,0
h00,1125644244035275340,p3,0,0,500,0,0,0,500,0,347,16,137,0,0,0,500,0
h00,1133874929495765677,p1,0,0,500,0,11,41,448,0,390,7,103,0,0,0,500,0
h00,1133874929495765677,p2,0,0,500,0,0,0,500,0,334,9,157,0,0,0,500,0
h00,1133874929495765677,p3,0,0,500,0,0,0,500,0,360,9,131,0,0,0,500,0
h00,1152801672532746091,p1,0,0,500,0,7,55,438,0,357,24,119,0,0,0,500,0
h00,1152801672532746091,p2,0,0,500,0,1,0,499,0,381,33,86,0,0,0,500,0
h00,1152801672532746091,p3,0,0,500,0,0,0,500,0,361,47,92,0,0,0,500,0
h00,1159453151904288212,p1,0,0,500,0,12,44,444,0,376,15,109,0,0,0,500,0
h00,1159453151904288212,p2,0,0,500,0,0,1,499,0,305,10,185,0,0,0,500,0
h00,1159453151904288212,p3,0,0,500,0,0,0,500,0,360,62,78,0,0,0,500,0
h00,1159482635262466889,p1,0,0,500,0,11,44,445,0,376,12,112,0,0,0,500,0
h00,1159482635262466889,p2,0,0,500,0,0,0,500,0,369,6,125,0,0,0,500,0
