"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,66428,0.239,0.239,"ns"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,74879,0.00015,0.00045,"***"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,71300,0.007,0.015,"*"
"African",0.7,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125165,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000211,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000844,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,124532,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000926,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000463,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,124064,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000148,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000592,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,98717,0.00000000000000000000000000006,0.00000000000000000000000000012,"***"
"African",0.7,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,53208,0.004,0.004,"**"
"African",0.7,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,19485,0.000000000000000000000000000000000000000125,0.000000000000000000000000000000000000000375,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,123146,0.00000000000000000000000000000000000000000000000000000000000000000000000000000318,0.0000000000000000000000000000000000000000000000000000000000000000000000000000127,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,123876,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000447,0.000000000000000000000000000000000000000000000000000000000000000000000000000000224,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,97382,0.00000000000000000000000000575,0.00000000000000000000000000575,"***"
"African",0.7,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,21959,0.00000000000000000000000000000000000269,0.00000000000000000000000000000000000538,"***"
"African",0.7,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,9522,0.00000000000000000000000000000000000000000000000000000000000119,0.00000000000000000000000000000000000000000000000000000000000357,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,121448,0.0000000000000000000000000000000000000000000000000000000000000000000000000533,0.000000000000000000000000000000000000000000000000000000000000000000000000213,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,121534,0.0000000000000000000000000000000000000000000000000000000000000000000000000328,0.000000000000000000000000000000000000000000000000000000000000000000000000164,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
