"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,19,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000142,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1347,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000381,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,47227,0.0000019,0.0000019,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,78551,0.000000835,0.000000835,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Long ROH",500,500,104109,0.000000000000000000000000000000000000106,0.000000000000000000000000000000000000318,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,95513,0.00000000000000000000000258,0.00000000000000000000000516,"***"
"African",0.7,"additive","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,124181,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000741,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000296,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,86508,0.000000000000148,0.000000000000148,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Short ROH","Long ROH",500,500,113860,0.0000000000000000000000000000000000000000000000000000000139,0.0000000000000000000000000000000000000000000000000000000556,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,102972,0.00000000000000000000000000000000000934,0.000000000000000000000000000000000028,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125159,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000219,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000011,"***"
"African",0.7,"dominant","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,102345,0.000000000000000000000000000000000105,0.00000000000000000000000000000000021,"***"
"African",0.7,"mixed","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,48506,0.0000125,0.0000125,"***"
"African",0.7,"mixed","per_cM_nonzero_log","Short ROH","Long ROH",500,500,77999,0.00000197,0.00000394,"***"
"African",0.7,"mixed","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"mixed","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,84321,0.0000000000192,0.0000000000576,"***"
"African",0.7,"mixed","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
