freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.05870045900336225,0.00016829319812951754,,,,,0.028133010419062864,0.00011187710611611257,,,,,0.015160402736505036,7.952386727833424e-05
"[1.2e-05, 1.58e-05)",,,0.05801537706057816,0.00018886209693800684,,,,,0.027726930837303085,0.00012436315848376886,,,,,0.014905281824845636,8.822708080429654e-05,,
"[1.58e-05, 2.09e-05)",,,,,0.05317254514268888,0.00021601913894070195,,,,,0.02432156141239857,0.00013808743733117982,,,,,0.012482132514397158,9.444384108248292e-05
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.05790107414286722,0.000292335045060081,0.05216488349251242,0.0002515454275683021,0.050026953361770356,0.00026654703008359,0.02757192734037827,0.00019140777024797702,0.0238436886423493,0.00016006780659905186,0.022232925237259813,0.0001653394674689232,0.014756190295236055,0.000134280178702069,0.01224285240136368,0.00010940713039107237,0.011070777291115804,0.0001081859335654394
"[3.63e-05, 4.79e-05)",,,0.04912275677563208,0.0002817229823527087,0.04672363690795578,0.00029483502177263786,,,0.021761004109890642,0.00017095875911391368,0.020154227020630876,0.00017541740510758428,,,0.010800417907483442,0.00011048080747474352,0.009739803559148826,0.00011092017122435143
"[4.79e-05, 6.31e-05)",,,0.0459220537717147,0.0003073872809695545,0.04283598924925533,0.00021345594035144207,,,0.019793786894249318,0.00018563008066969501,0.017755252142550502,0.00012211881146513768,,,0.00957053441717764,0.00012050021351123268,0.008248884700201051,7.453764051264971e-05
"[6.31e-05, 8.32e-05)",0.052506369363192425,0.00041131985137426975,0.042682675389783556,0.00035208186677502656,0.03897503758542855,0.00024434625640094913,0.023929809195330918,0.00026292345057081447,0.017827767262747207,0.00020102474339201223,0.01550904181041732,0.00013419989898438462,0.012267989631905157,0.00018177245315299174,0.008345339079063777,0.0001230912114618135,0.006916798509534894,7.868384438293595e-05
"[8.32e-05, 0.00011)",0.0479753259216787,0.0004508830200519037,0.03944015852543489,0.00024803584977821255,0.03622208350557888,0.00025859689736378543,0.02110377070216712,0.0002737842289959308,0.015901447410041514,0.0001384147210587406,0.013894511037924464,0.00013789626026090905,0.010440838081411281,0.00017965556890301178,0.007182359043391189,8.247915597596562e-05,0.005947886213182137,7.779868600933682e-05
"[0.00011, 0.000145)",0.04532898078454261,0.00046949532795492456,0.03564002000392617,0.0002327000473777967,0.03242524315951549,0.00019393543829184233,0.019395517963692946,0.00028133167331237895,0.013680584405329821,0.00012076332893696622,0.011859185308837145,9.542068691836197e-05,0.009319608338313362,0.00018165075183875824,0.005872547044109972,6.684666088161989e-05,0.004843423518832911,5.024022919639749e-05
"[0.000145, 0.000191)",0.04191279962224135,0.0005177039378138358,0.03204742390265121,0.00022697589147500688,0.0286737145040689,0.00020725809169321323,0.01727376354869035,0.00029123199931353863,0.011736062258178437,0.00011567857151760605,0.009946161577378305,9.812507276273907e-05,0.007985631524400946,0.00017542135521868776,0.004812850910572063,6.294294906846052e-05,0.0038480781174521682,4.9285515294456464e-05
"[0.000191, 0.000251)",0.03835850182157551,0.00036074689545795497,0.02810561072035115,0.0002063058557926524,0.02598577732993887,0.0001787896947317204,0.01531880215382228,0.00020579381731699437,0.009773773902473349,9.913445245333137e-05,0.008590560006684676,8.041367298288847e-05,0.006887565026349011,0.00012471188229375724,0.0038067264341992172,5.109859865892654e-05,0.003169842606002406,3.865169366239079e-05
"[0.000251, 0.000331)",0.034544820945542995,0.00041183602911269295,0.02499570475044395,0.0002147396534229377,0.022602498558316055,0.00015230617551150035,0.013192802846807631,0.00021604779646209072,0.008189981838759765,9.553237795502029e-05,0.007039294264799325,6.501475233992435e-05,0.00567055270904101,0.00012172255114307895,0.0029927959881234233,4.526854759365328e-05,0.0024422103749011078,2.9464038572318002e-05
"[0.000331, 0.000437)",0.030934956378324132,0.0003625732506276864,0.021543538727701872,0.00017099113378939233,0.019633937128179884,0.0001434942291286159,0.011281338224770744,0.0001878838641947874,0.00665484560367818,7.157650407525032e-05,0.0057627337983184425,5.828024962574975e-05,0.004628988207425093,0.00010355676741209235,0.0022967084293485183,3.21510695381326e-05,0.0018841229710080717,2.5019582704804136e-05
"[0.000437, 0.000575)",0.02718481551534193,0.00031871277200825997,0.018979865397176006,0.00015905462409662738,0.017410362163772584,0.00012964191504851447,0.009321775802297644,0.0001535964988140572,0.005533943326962721,6.257601111218675e-05,0.00481422662146459,4.8825476439242436e-05,0.0035957681429350254,7.924640757721577e-05,0.0017981094396647321,2.640554440970731e-05,0.001477104729312039,1.9462729414511163e-05
