freq_bin,p1_mean,p1_sem,p2_mean,p2_sem,p3_mean,p3_sem
"[1e-06, 1.32e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.32e-06, 1.74e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.74e-06, 2.29e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.29e-06, 3.02e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.02e-06, 3.98e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.98e-06, 5.25e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[5.25e-06, 6.92e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[6.92e-06, 9.12e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[9.12e-06, 1.2e-05)",0.0,0.0,0.0,0.0,0.26317021642329097,0.0003903717305363387
"[1.2e-05, 1.58e-05)",0.0,0.0,0.2504425162589993,0.00041088524124733065,0.0,0.0
"[1.58e-05, 2.09e-05)",0.0,0.0,0.0,0.0,0.10401584998088173,0.00025812320706562975
"[2.09e-05, 2.75e-05)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.75e-05, 3.63e-05)",0.18725888235732777,0.0005160728968207188,0.09944711047425625,0.0003109889625540542,0.06964624429277694,0.00022285352298836384
"[3.63e-05, 4.79e-05)",0.0,0.0,0.06670769628294167,0.00024633029017055003,0.04919018447839398,0.00019028517844992953
"[4.79e-05, 6.31e-05)",0.0,0.0,0.04782893351852036,0.00020629876896711134,0.06772386779011628,0.00021248560678951975
"[6.31e-05, 8.32e-05)",0.07644433809147404,0.0003486793135694968,0.036593307837345136,0.00018736820083391234,0.04626258629189763,0.00018241608278329419
"[8.32e-05, 0.00011)",0.051379560164182055,0.0002975544089760486,0.053814746785967836,0.00021858528625924687,0.03452949193385613,0.0001607993160691138
"[0.00011, 0.000145)",0.03756032982109769,0.000247655737662447,0.05442848213533577,0.0002117904802392923,0.04892162500562433,0.00019437478228708044
"[0.000145, 0.000191)",0.028697887238733313,0.00020874372468216183,0.03799122880628655,0.0001878307498785156,0.03383868130699424,0.00015676807241465747
"[0.000191, 0.000251)",0.043887681572200535,0.00026005900690340454,0.043927942931190046,0.00019876256987214966,0.035555319993612576,0.0001625595611840611
"[0.000251, 0.000331)",0.03188586039531562,0.00023919027516661092,0.030321597952848563,0.0001683424930297532,0.03223601458245655,0.00014431516657928433
"[0.000331, 0.000437)",0.03530622049731951,0.0002490311477530868,0.034267650997663865,0.00017260650524755062,0.027400561508228474,0.00013921216421747222
"[0.000437, 0.000575)",0.034359462878624666,0.00024568290760825184,0.028847059058973442,0.0001591443692487524,0.025806850671976148,0.0001308272379924869
"[0.000575, 0.000759)",0.031151234983450998,0.000229216229607421,0.02563862262608104,0.00014755664070053402,0.021450883958353352,0.00012812414361884278
"[0.000759, 0.001)",0.031956739242199425,0.00022235399527763595,0.02237891040745544,0.00014423851564587882,0.01820607665885401,0.00011006963061001445
"[0.001, 0.00132)",0.032324701004067265,0.00024393176967891733,0.020491740332606003,0.00013267243805459948,0.016373792795887243,0.00010986858403561159
"[0.00132, 0.00174)",0.027887198356661185,0.0002165178794138714,0.017036128523741263,0.00012464991770843144,0.013291470995840778,0.00010320101300801741
"[0.00174, 0.00229)",0.02701597852324145,0.00020745349361589167,0.014848661384531605,0.00011397643371115712,0.0109914219420366,8.550131098518119e-05
"[0.00229, 0.00302)",0.025339843911095016,0.000200391409565061,0.01292320652149905,0.00010668228609561486,0.008918436183461647,8.421641977767847e-05
"[0.00302, 0.00398)",0.023862059388725976,0.00020196114307606834,0.010396968244995185,9.96161859347771e-05,0.007438663596608075,7.3320374551066e-05
"[0.00398, 0.00525)",0.02223843923980602,0.00019761995049927413,0.00848942031713783,9.128897519079725e-05,0.005989413602524672,6.500386965106142e-05
"[0.00525, 0.00692)",0.021900833727775064,0.00019408095147516443,0.0070171008683945196,8.109164908514368e-05,0.004815077134716783,6.044578686200984e-05
"[0.00692, 0.00912)",0.02013954920570504,0.0001704009187838754,0.005860804502266378,7.080197066558568e-05,0.003786322671026277,5.157881125214015e-05
"[0.00912, 0.012)",0.01926337606780489,0.00018745626566634498,0.004669214962454367,6.714071194111606e-05,0.0029646950769645626,4.770252907452025e-05
"[0.012, 0.0158)",0.01766089057538527,0.0001650207762404274,0.0038008651269229574,5.701441127412562e-05,0.002444536588283977,4.4736125338016706e-05
"[0.0158, 0.0209)",0.0164873219042703,0.00017167207291605432,0.00312968713274874,5.333864384138076e-05,0.002011803710825778,3.975723217969412e-05
"[0.0209, 0.0275)",0.015480783770308664,0.00015518333223467302,0.0027612832891131386,5.2096886123782306e-05,0.0017843398093209937,3.4489845355018674e-05
"[0.0275, 0.0363)",0.014264391274465979,0.0001533838152350331,0.0026090312812341028,5.1174117134549586e-05,0.0015118344233751731,3.3960513769458055e-05
"[0.0363, 0.0479)",0.013002085214208975,0.0001512422151569604,0.002384250424962171,4.4821435862689314e-05,0.0013998344287209405,3.4885519714933716e-05
"[0.0479, 0.0631)",0.011477925329230955,0.00013699524658625489,0.0023689363707249107,4.828167854674679e-05,0.0014391622081165614,3.3617264311745356e-05
"[0.0631, 0.0832)",0.01055075017888434,0.00013891209504456886,0.002479110255714377,4.805823573681943e-05,0.0015344108486655358,3.3875059270745033e-05
"[0.0832, 0.11)",0.00930381779374021,0.00012926259340469018,0.0025352698353453386,4.735467246224885e-05,0.001684759718200694,3.371032172987143e-05
"[0.11, 0.145)",0.008396999269964135,0.00012814054982772496,0.0028097721585157507,5.013103077270503e-05,0.0019988488113199527,4.047831103947237e-05
"[0.145, 0.191)",0.007125885315299591,0.00011448869902684511,0.0028579930664589903,5.226514600263656e-05,0.002111178386345911,3.997144753914996e-05
"[0.191, 0.251)",0.006701824752163823,0.00011678797104582261,0.0031649726733316208,5.342817723828144e-05,0.002258233754948365,4.0863571541825984e-05
"[0.251, 0.331)",0.005935027431916361,0.00010233424793229972,0.0033115516007199463,5.6479878724866294e-05,0.002409112271418827,4.236114086005426e-05
"[0.331, 0.437)",0.00554478689265639,9.83243158260893e-05,0.0032367386236691865,5.681359692091337e-05,0.0025190293711435325,4.254813208931525e-05
"[0.437, 0.575)",0.005452139196868441,0.00010195772328409745,0.0031948599023554815,5.471491031150807e-05,0.0024863008976700168,4.2776996149569115e-05
"[0.575, 0.759)",0.0052689803478952425,9.407528137106579e-05,0.002997242464690541,5.1843793148182974e-05,0.0023940639281226,4.065279880632324e-05
"[0.759, 1.0)",0.037486214085933826,0.00025410593638589896,0.021989384062001648,0.00014453717844550891,0.01748880196714108,0.000112481946718992
