hXX,simID,pop,tau,subset_value,Total_V_G,Total_V_A,Total_V_D,Total_cov,Total_check,ROH_V_G,Non_ROH_V_G,ROH_cov,ROH_check
h00,1021574717937228960,p1,0.7,0.3,0.1442023454173369,0.0507215010096157,0.1025563305677959,-0.0090754861600747,0.0,0.0891932165198577,0.0566640170677163,-0.0008274440851185,2.775557561562892e-17
h00,1021574717937228960,p1,0.8,0.3,0.1357554881559135,0.0408653526622239,0.1013066023255399,-0.0064164668318502,2.775557561562892e-17,0.0878257584463013,0.0490006473772716,-0.0005354588338297,-2.775557561562892e-17
h00,1021574717937228960,p1,0.9,0.3,0.1267566625069681,0.0331690989101377,0.0976883037233431,-0.0041007401265128,-5.551115123125783e-17,0.0832580041736164,0.0439786849998231,-0.0002400133332357,0.0
h00,1021574717937228960,p1,1.0,0.3,0.1168648325104692,0.0273613343187377,0.0918900930746944,-0.0023865948829627,8.326672684688674e-17,0.0763717618237083,0.0405584895948293,-3.270945403421532e-05,0.0
h00,1021574717937228960,p1,1.1,0.3,0.1062079895415698,0.0229617342580415,0.0844971208981217,-0.0012508656145935,0.0,0.0682285591375128,0.0378257708532697,7.682977539361769e-05,-2.775557561562892e-17
h00,1021574717937228960,p1,1.2,0.3,0.0951673009581521,0.0195192418344404,0.0762044144139894,-0.0005563552902776,0.0,0.0597225897792854,0.035214018787342,0.0001153461957623,1.3877787807814457e-17
h00,1021574717937228960,p1,1.3,0.3,0.0841790800858203,0.0167095057768399,0.067627745306964,-0.0001581709979836,-2.775557561562892e-17,0.0514699971917545,0.03248116662814,0.0001139581329628,-1.3877787807814457e-17
h00,1021574717937228960,p2,0.7,0.3,0.1573696102421634,0.045032707451485,0.1116516108425999,0.0006852919480784,0.0,0.1223228142911437,0.0267452857525871,0.0041507550992162,0.0
h00,1021574717937228960,p2,0.8,0.3,0.1611973015162262,0.040285016048194,0.1215186403346931,-0.000606354866661,-2.775557561562892e-17,0.137557240313031,0.016769621211773,0.0034352199957111,0.0
h00,1021574717937228960,p2,0.9,0.3,0.1611076609340966,0.0367126123632742,0.1260336293455135,-0.0016385807746911,0.0,0.1457812827924125,0.0098978249150433,0.0027142766133203,0.0
h00,1021574717937228960,p2,1.0,0.3,0.1560595937043249,0.0335729192406213,0.1248312413280788,-0.0023445668643752,-2.775557561562892e-17,0.1463448884215069,0.0055800705788957,0.002067317351961,-5.551115123125783e-17
h00,1021574717937228960,p2,1.1,0.3,0.1465716264803016,0.0304549987238914,0.1188496245389718,-0.0027329967825615,2.775557561562892e-17,0.1404527111733076,0.0030492419093118,0.0015348366988411,2.775557561562892e-17
h00,1021574717937228960,p2,1.2,0.3,0.1339566766653202,0.0272458833993064,0.1095706979132958,-0.0028599046472819,8.326672684688674e-17,0.1300738503470532,0.001638039407649,0.001122393455309,8.326672684688674e-17
h00,1021574717937228960,p2,1.3,0.3,0.1196585620145417,0.0239999603531915,0.0984559626074978,-0.0027973609461476,1.3877787807814457e-17,0.1171501232282758,0.0008773672199584,0.0008155357831537,-2.775557561562892e-17
h00,1021574717937228960,p3,0.7,0.3,0.2696546846100321,0.1103457937827418,0.1441758918578718,0.0151329989694185,1.1102230246251563e-16,0.2226655595725322,0.0275114846774358,0.0097388201800321,1.1102230246251563e-16
h00,1021574717937228960,p3,0.8,0.3,0.329364394037159,0.1371204946318754,0.1751299016252999,0.0171139977799837,1.6653345369377348e-16,0.290604730158075,0.0191584910351308,0.0098005864219766,5.551115123125783e-17
h00,1021574717937228960,p3,0.9,0.3,0.3955831134360149,0.1720774304302901,0.2057525543786486,0.0177531286270758,-2.220446049250313e-16,0.3644352428374802,0.0126686686688197,0.0092396009648573,-1.6653345369377348e-16
h00,1021574717937228960,p3,1.0,0.3,0.4664779417955408,0.2136245329548403,0.2355675522167326,0.0172858566239678,-5.551115123125783e-17,0.4418172388089882,0.0081165671850959,0.0082720679007282,-2.220446049250313e-16
h00,1021574717937228960,p3,1.1,0.3,0.541034570247096,0.2599585105188364,0.2649706920473444,0.0161053676809155,4.440892098500626e-16,0.5216117935780127,0.0051406362797217,0.0071410701946808,0.0
h00,1021574717937228960,p3,1.2,0.3,0.6187356791074308,0.3095386054012559,0.2946242855250019,0.0145727881811733,3.3306690738754696e-16,0.6033938863584821,0.0032799504859096,0.0060309211315196,3.3306690738754696e-16
h00,1021574717937228960,p3,1.3,0.3,0.6992295329027728,0.3612100357355011,0.32507610735313,0.0129433898141413,-3.3306690738754696e-16,0.6869879068581163,0.0021460292493106,0.0050477983976728,0.0
h00,1021574717937228960,p1,0.7,1.0,0.9953749508326885,0.3071930804257911,0.5928104971236505,0.0953713732832465,-1.1102230246251563e-16,0.6967601705635608,0.1754515976675672,0.0615815913007801,-1.1102230246251563e-16
h00,1021574717937228960,p1,0.8,1.0,1.157052093852673,0.3559973816516509,0.6735186315617713,0.1275360806392507,0.0,0.8116015920767452,0.1767336258413272,0.0843584379673002,0.0
h00,1021574717937228960,p1,0.9,1.0,1.3043207031488642,0.4069879905282918,0.7404193438252444,0.1569133687953274,-4.440892098500626e-16,0.9024355120927192,0.1875040628512054,0.1071905641024698,2.220446049250313e-16
h00,1021574717937228960,p1,1.0,1.0,1.425009947285676,0.4545285236252522,0.7894525430236471,0.1810288806367762,-2.220446049250313e-16,0.9653882839459113,0.2037863299592915,0.1279176666902366,2.220446049250313e-16
h00,1021574717937228960,p1,1.1,1.0,1.5146487958270924,0.4952649017768739,0.82038702825441,0.1989968657958082,-4.440892098500626e-16,1.0022106881031565,0.2217497087691348,0.1453441994774006,4.440892098500626e-16
h00,1021574717937228960,p1,1.2,1.0,1.574171612598991,0.5278933271115333,0.8352847251190223,0.210993560368435,-6.661338147750939e-16,1.017325096095683,0.2386875112408787,0.1590795026312146,-2.220446049250313e-16
h00,1021574717937228960,p1,1.3,1.0,1.6071884611209133,0.5524284297606418,0.8370498706832361,0.217710160677036,4.440892098500626e-16,1.0156589348925067,0.253091697128774,0.169218914549816,-4.440892098500626e-16
h00,1021574717937228960,p2,0.7,1.0,0.6313789869515365,0.1984024811757812,0.4053130666821308,0.0276634390936243,0.0,0.5223570855993073,0.109967638596954,-0.0004728686223624,-1.1102230246251563e-16
h00,1021574717937228960,p2,0.8,1.0,0.5892107131112341,0.1696553712219943,0.3921429925513154,0.0274123493379243,1.1102230246251563e-16,0.5122954294449462,0.0779715974647513,-0.0005281568992317,0.0
h00,1021574717937228960,p2,0.9,1.0,0.5269549795640899,0.1406140448147175,0.3614117247014033,0.0249292100479689,0.0,0.4747940598343597,0.0526701565285173,-0.0002546183993935,0.0
h00,1021574717937228960,p2,1.0,1.0,0.4552972987176441,0.1136597709862309,0.3204490730886171,0.0211884546427961,1.6653345369377348e-16,0.4208788358644114,0.0343441841140027,3.713936961500888e-05,5.551115123125783e-17
h00,1021574717937228960,p2,1.1,1.0,0.3833335892570969,0.0902079139880469,0.2760338054689514,0.0170918698000985,1.6653345369377348e-16,0.3610155859335805,0.0218637766398539,0.0002271133418311,0.0
h00,1021574717937228960,p2,1.2,1.0,0.3168478860439808,0.0707232261478171,0.2328851424969053,0.0132395173992584,1.1102230246251563e-16,0.3025244810786359,0.0137047772653197,0.0003093138500126,5.551115123125783e-17
h00,1021574717937228960,p2,1.3,1.0,0.2585911570471536,0.0550359626734604,0.1936254666491624,0.0099297277245307,0.0,0.2494472258344699,0.0085080701316587,0.0003179305405124,0.0
h00,1021574717937228960,p3,0.7,1.0,0.9569999107013968,0.3472681729562898,0.580473720056141,0.0292580176889659,1.1102230246251563e-16,0.7802206342521394,0.0842739948907745,0.0462526407792413,1.1102230246251563e-16
h00,1021574717937228960,p3,0.8,1.0,0.9867027287567492,0.3393132113435794,0.6241771079285223,0.0232124094846474,0.0,0.8500028932745393,0.0576446859890834,0.0395275747465632,-1.1102230246251563e-16
h00,1021574717937228960,p3,0.9,1.0,1.0065933753335552,0.3403005430443478,0.6490860982170941,0.017206734072113,-2.220446049250313e-16,0.9046110879092932,0.037306590915223,0.0323378482545193,0.0
h00,1021574717937228960,p3,1.0,1.0,1.025208971624628,0.3527075193553898,0.6602717497451281,0.0122297025241101,0.0,0.95052609325828,0.0233295444502185,0.0256766669580648,2.220446049250313e-16
h00,1021574717937228960,p3,1.1,1.0,1.0483186076596434,0.3758081967578023,0.6638477143455889,0.0086626965562521,0.0,0.9938396903400656,0.0143879808188287,0.0200454682503744,-2.220446049250313e-16
h00,1021574717937228960,p3,1.2,1.0,1.0786588113283624,0.4074526654623031,0.6647541102856744,0.0064520355803842,-4.440892098500626e-16,1.0386228863202918,0.0089134367360179,0.0155612441360262,-2.220446049250313e-16
h00,1021574717937228960,p3,1.3,1.0,1.116803550435361,0.4453137914481717,0.666158579742668,0.0053311792445214,0.0,1.0869123085302428,0.0056364545116539,0.012127393696732,-4.440892098500626e-16
h00,1026591750036320836,p1,0.7,0.3,0.1475864456229147,0.0278734039545893,0.1328417300019464,-0.0131286883336209,0.0,0.1372577646489467,0.0115144339709086,-0.0005928764984703,2.775557561562892e-17
h00,1026591750036320836,p1,0.8,0.3,0.1144138220201895,0.0192800789786232,0.1040220782956161,-0.0088883352540498,-1.3877787807814457e-17,0.1105398411749448,0.0045446433160524,-0.0003353312354038,-1.3877787807814457e-17
h00,1026591750036320836,p1,0.9,0.3,0.0834152148700683,0.013171478876969,0.0758687515176586,-0.0056250155245593,1.3877787807814457e-17,0.0821013461711155,0.0016185417699465,-0.0001523365354968,2.775557561562892e-17
h00,1026591750036320836,p1,1.0,0.3,0.0582562138488814,0.0089121849839967,0.0527883194943476,-0.0034442906294629,0.0,0.0578161967096374,0.0005417580072174,-5.087043398672977e-05,0.0
h00,1026591750036320836,p1,1.1,0.3,0.0394927713054934,0.005968009165234,0.0356079918895317,-0.0020832297492724,-1.3877787807814457e-17,0.0393262918441823,0.0001757027466113,-4.611642650146237e-06,0.0
h00,1026591750036320836,p1,1.2,0.3,0.0262267960074577,0.0039556246836035,0.0235293010221842,-0.00125812969833,-3.469446951953614e-18,0.0261461957976552,5.673038850558923e-05,1.1934910648465296e-05,-3.469446951953614e-18
h00,1026591750036320836,p1,1.3,0.3,0.0171715683849826,0.0025984448024602,0.0153354961280804,-0.0007623725455581,-1.3877787807814457e-17,0.0171227375881588,1.8819065926163536e-05,1.5005865448805265e-05,3.469446951953614e-18
h00,1026591750036320836,p2,0.7,0.3,0.1614959243410799,0.0292284077368845,0.1328623027239296,-0.0005947861197342,2.775557561562892e-17,0.145934566679653,0.0123365070843634,0.0016124252885318,1.6653345369377348e-16
h00,1026591750036320836,p2,0.8,0.3,0.1624118842717417,0.0260435759864155,0.1374440997085143,-0.0010757914231881,0.0,0.1536421068556671,0.0071064004683656,0.0008316884738544,2.775557561562892e-17
h00,1026591750036320836,p2,0.9,0.3,0.1533179250544485,0.0232929361718634,0.1310284829271327,-0.0010034940445475,8.326672684688674e-17,0.1485541720756801,0.0038981671719874,0.0004327929033905,2.775557561562892e-17
h00,1026591750036320836,p2,1.0,0.3,0.1372839128545336,0.0204278511236533,0.1175915822362994,-0.000735520505419,5.551115123125783e-17,0.1346991363606505,0.0020931397096566,0.0002458183921133,1.3877787807814454e-16
h00,1026591750036320836,p2,1.1,0.3,0.1180986237437667,0.017450407761702,0.101122554707118,-0.0004743387250532,-1.3877787807814457e-17,0.1166666281572924,0.0011161744383448,0.0001579105740647,-2.775557561562892e-17
h00,1026591750036320836,p2,1.2,0.3,0.0986615929080618,0.0145519578283469,0.0843928601527679,-0.0002832250730529,1.3877787807814454e-16,0.097840256324481,0.0005957433730827,0.000112796605249,1.3877787807814457e-17
h00,1026591750036320836,p2,1.3,0.3,0.0806993915585029,0.0119022969417147,0.0689580753943371,-0.0001609807775489,8.326672684688674e-17,0.0802072225984831,0.0003201257368823,8.60216115687362e-05,9.714451465470121e-17
h00,1026591750036320836,p3,0.7,0.3,0.1683496970412808,0.0390727544315405,0.1307613765313402,-0.0014844339215999,0.0,0.1519761921263786,0.0147024499835553,0.0008355274656734,-2.775557561562892e-17
h00,1026591750036320836,p3,0.8,0.3,0.1244656120661918,0.025215388868375,0.1000200064718836,-0.0007697832740668,-1.3877787807814457e-17,0.1162925753226951,0.007142120610533,0.0005154580664818,-2.775557561562892e-17
h00,1026591750036320836,p3,0.9,0.3,0.0859907508561109,0.0156056496552306,0.0706724245212666,-0.0002873233203862,0.0,0.0822712411167716,0.0031507175756712,0.000284396081834,-2.775557561562892e-17
h00,1026591750036320836,p3,1.0,0.3,0.0568131816709356,0.0095006155506718,0.0473465804926549,-3.401437239114246e-05,1.3877787807814457e-17,0.055191008534884,0.0013173049278487,0.0001524341041013,6.938893903907228e-18
h00,1026591750036320836,p3,1.1,0.3,0.0364218708171694,0.005748774303156,0.030607131218297,6.596529571638432e-05,-6.938893903907228e-18,0.0357161034511305,0.0005382477071925,8.375982942318032e-05,-6.938893903907228e-18
h00,1026591750036320836,p3,1.2,0.3,0.0228640340190391,0.0034675476799625,0.0193099776242516,8.650871482487317e-05,-3.469446951953614e-18,0.022547811735852,0.0002198423385128,4.818997233714493e-05,-3.469446951953614e-18
h00,1026591750036320836,p3,1.3,0.3,0.014140086658261,0.0020859023152112,0.0119791419508159,7.504239223388645e-05,0.0,0.0139909386254819,9.137795356671274e-05,2.888503960619841e-05,0.0
h00,1026591750036320836,p1,0.7,1.0,1.0540251513297274,0.211186236679957,0.8981112976179031,-0.0552723829681333,-6.661338147750939e-16,0.9685919520160928,0.0922129990457676,-0.0033898998660666,0.0
h00,1026591750036320836,p1,0.8,1.0,0.9831868001583732,0.1803163914295549,0.8416194519162735,-0.0387490431874553,-1.1102230246251563e-16,0.93221673348749,0.0550897485014726,-0.0020598409152945,2.220446049250313e-16
h00,1026591750036320836,p1,0.9,1.0,0.8710010000646248,0.1543619550941161,0.7426129129059155,-0.0259738679354066,2.220446049250313e-16,0.8393822886266094,0.0336855903108761,-0.0010334394364304,-1.1102230246251563e-16
h00,1026591750036320836,p1,1.0,1.0,0.7471381791378124,0.1316839548923959,0.6326770399380447,-0.0172228156926281,1.1102230246251563e-16,0.7268027679982353,0.0210144452225235,-0.0003395170414733,-4.440892098500626e-16
h00,1026591750036320836,p1,1.1,1.0,0.6295811585501685,0.1118032939829989,0.5292783569396512,-0.0115004923724816,0.0,0.6162159839795875,0.0132016567239093,8.175892333585115e-05,1.1102230246251563e-16
h00,1026591750036320836,p1,1.2,1.0,0.5260832956683664,0.0946046955396765,0.4392759633965127,-0.007797363267822,7.771561172376097e-16,0.5171904367184245,0.0082766851254782,0.0003080869122319,2.220446049250313e-16
h00,1026591750036320836,p1,1.3,1.0,0.4384395650317537,0.0799398791196994,0.3638846069825313,-0.0053849210704772,-1.1102230246251563e-16,0.4324628559799777,0.0051604552171022,0.0004081269173368,0.0
h00,1026591750036320836,p2,0.7,1.0,0.4777852560492927,0.1011149966949337,0.363013867519057,0.0136563918353018,-5.551115123125783e-17,0.4318403137601446,0.0415748533112147,0.0021850444889666,-5.551115123125783e-17
h00,1026591750036320836,p2,0.8,1.0,0.3851955289574425,0.0706315896974086,0.3074955736458122,0.0070683656142216,0.0,0.3630910019797488,0.0205311734531518,0.0007866767622709,5.551115123125783e-17
h00,1026591750036320836,p2,0.9,1.0,0.3035065150536833,0.0508412182194417,0.2499799456244129,0.0026853512098287,5.551115123125783e-17,0.2930405589784163,0.0097487382427379,0.0003586089162644,-1.1102230246251563e-16
h00,1026591750036320836,p2,1.0,1.0,0.2363212280776956,0.0376755496443068,0.1983063580648198,0.0003393203685689,0.0,0.2311857603949146,0.0046033215280674,0.0002660730773567,-2.775557561562892e-17
h00,1026591750036320836,p2,1.1,1.0,0.1827245334836303,0.0284045620781819,0.154990767059249,-0.0006707956538007,-5.551115123125783e-17,0.1800388384982646,0.0021966255800289,0.0002445347026682,-8.326672684688674e-17
h00,1026591750036320836,p2,1.2,1.0,0.1406286665729752,0.0215783011468922,0.1200115277812824,-0.0009611623551994,2.775557561562892e-17,0.1391200139006911,0.0010659164016629,0.0002213681353105,0.0
h00,1026591750036320836,p2,1.3,1.0,0.1078944614099112,0.0164342917352379,0.0923835867538832,-0.00092341707921,4.163336342344337e-17,0.1069886951833804,0.0005276162305552,0.0001890749979877,-1.3877787807814457e-17
h00,1026591750036320836,p3,0.7,1.0,1.3808536916437977,0.3551337637640265,0.9950320953235609,0.0306878325562107,6.661338147750939e-16,1.295786039507472,0.0465689708174917,0.0192493406594169,2.220446049250313e-16
h00,1026591750036320836,p3,0.8,1.0,1.5982327392503817,0.4320436996502928,1.1428018550424033,0.0233871845576844,-1.1102230246251563e-15,1.5458477740716812,0.0254055242041373,0.0134897204872816,0.0
h00,1026591750036320836,p3,0.9,1.0,1.813623600788321,0.5122839355777421,1.2851880372128337,0.0161516279977449,-2.220446049250313e-16,1.781701977774768,0.013113564043614,0.0094040294849697,4.440892098500626e-16
h00,1026591750036320836,p3,1.0,1.0,2.012537541427482,0.5862519327325121,1.4159062136433322,0.0103793950516375,0.0,1.9921376439446048,0.0067477497577818,0.0068260738625481,8.881784197001252e-16
h00,1026591750036320836,p3,1.1,1.0,2.18666446258561,0.6497375177603469,1.530684153057884,0.0062427917673788,-8.881784197001252e-16,2.172409422080666,0.0036557772170427,0.0052996316439503,-4.440892098500626e-16
h00,1026591750036320836,p3,1.2,1.0,2.333560879634854,0.7020462000736587,1.6280573756502024,0.0034573039109901,-3.1086244689504387e-15,2.322503071033428,0.0022075190458369,0.0044251447777943,-8.881784197001252e-16
h00,1026591750036320836,p3,1.3,1.0,2.454611089882284,0.7441900234705122,1.7087558475389688,0.0016652188727997,-3.1086244689504387e-15,2.445199855461476,0.0015447583094067,0.0039332380557005,-4.440892098500626e-16
h00,103568543989312214,p1,0.7,0.3,0.8228759995441666,0.2414634096477451,0.5769069016443714,0.0045056882520502,2.220446049250313e-16,0.800098342431734,0.0173863461582043,0.002695655477114,0.0
h00,103568543989312214,p1,0.8,0.3,1.000434785126758,0.3052079141182741,0.691093176069032,0.0041336949394523,6.661338147750939e-16,0.9827440071351484,0.0123059949163639,0.0026923915376227,0.0
