hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1021574717937228960,African,0.7,4.773269214264114e-05,0.0,2.8386996887606154e-06,4.599760230645859e-05,-5.518049262890294e-07,100.00000000000001
h00,1021574717937228960,African,0.8,1.6071246596084612e-05,0.0,1.1124361324277992e-06,1.52695675608435e-05,-1.5537854859334148e-07,100.00000000000001
h00,1021574717937228960,African,0.9,5.856393886199951e-06,0.0,4.3594401818222023e-07,5.510948944954324e-06,-4.524953846829657e-08,100.0
h00,1021574717937228960,African,1.0,2.2584328193892735e-06,0.0,1.7083873981520004e-07,2.1148303584293443e-06,-1.3618139427635503e-08,99.99999999999997
h00,1021574717937228960,African,1.1,9.056720606448696e-07,0.0,6.694867644552958e-08,8.471873851602978e-07,-4.2320004804789565e-09,99.99999999999999
h00,1021574717937228960,African,1.2,3.7301846045976547e-07,0.0,2.6236000585444693e-08,3.4949596773004354e-07,-1.3567539278614038e-09,100.00000000000001
h00,1021574717937228960,African,1.3,1.5648178260524537e-07,0.0,1.0281423969292148e-08,1.4709682819485392e-07,-4.4823477945037897e-10,99.99999999999997
h00,1021574717937228960,European,0.7,5.2091213471993276e-05,0.0,0.0,5.2091213471993276e-05,0.0,100.00000000000001
h00,1021574717937228960,European,0.8,1.9083144397929286e-05,0.0,0.0,1.908314439792928e-05,0.0,99.99999999999996
h00,1021574717937228960,European,0.9,7.4434739906673636e-06,0.0,0.0,7.4434739906673636e-06,0.0,100.0
h00,1021574717937228960,European,1.0,3.015878264069123e-06,0.0,0.0,3.015878264069123e-06,0.0,100.0
h00,1021574717937228960,European,1.1,1.249866677257159e-06,0.0,0.0,1.249866677257159e-06,0.0,99.99999999999999
h00,1021574717937228960,European,1.2,5.250575859031334e-07,0.0,0.0,5.250575859031336e-07,0.0,100.00000000000003
h00,1021574717937228960,European,1.3,2.2243513553398713e-07,0.0,0.0,2.2243513553398713e-07,0.0,100.0
