pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p1,0.7,0.08524404083402402,0.08541487057517437,0.16317155941819245,0.07442011295616,0.17415061965883125,0.024618699766001208,0.0821320541349901,0.13735878019127654,0.013202281975294623,0.01343061895400212,0.01343061895400212,0.7990074588405117,h00,1021574717937228960
p1,0.8,0.07079791860209053,0.0709397981984875,0.1753401335419664,0.06902093309950129,0.16151599065416292,0.02707080562520216,0.07295732296409188,0.12201483323305021,0.014874913434055472,0.009008782560332496,0.009008782560332496,0.7827141473987761,h00,1021574717937228960
p1,0.9,0.05907689851325442,0.05919528909143729,0.18657077900032124,0.06439363095352675,0.15068763385571488,0.02920654307515847,0.0644682375363823,0.10781756967291523,0.016469036071230726,0.005941458197356461,0.005941458197356461,0.7677536418532895,h00,1021574717937228960
p1,1.0,0.04971272160786527,0.04981234630046621,0.19668086708415508,0.06045206164263515,0.14146396150890764,0.03102090666642293,0.057001357983988754,0.09532985731805016,0.017952109796744466,0.0038849298853321544,0.0038849298853321544,0.7543461164526775,h00,1021574717937228960
p1,1.1,0.04228155478071772,0.04236628735542858,0.20566287731813251,0.057079569065082554,0.13357198649240132,0.032543734085106336,0.050684345938530856,0.08476519924202573,0.01930854064643737,0.0025385189747339975,0.0025385189747339975,0.7424848479503238,h00,1021574717937228960
p1,1.2,0.03637340494750939,0.036446297542594576,0.2135992948075475,0.05415130376043195,0.12671954839370117,0.03381582307397999,0.04548102062393022,0.0760630862158833,0.020534215806628054,0.0016691597596478979,0.0016691597596478979,0.7320506663118445,h00,1021574717937228960
p1,1.3,0.03163704751119204,0.03170044840800806,0.22060550999578704,0.05155489165031781,0.12064368046089599,0.03487761287121469,0.04126506168968464,0.06901225834309328,0.021631899118042378,0.0011109103231913234,0.0011109103231913234,0.722884978014956,h00,1021574717937228960
p2,0.7,0.05298865334183787,0.05298865334183787,0.3214490760176868,0.02786018672168425,0.048368379725146265,0.02907537714294654,0.027506816791444788,0.06165321004979004,0.002559073236910062,0.014114003691423663,0.014114003691423663,0.6469164736024565,h00,1021574717937228960
p2,0.8,0.04077170017763093,0.04077170017763093,0.3345192051679022,0.022173239136401908,0.03849520683403109,0.030720365640868188,0.021043236598441616,0.0471658751344381,0.002633110322106716,0.009565420890572177,0.009565420890572177,0.6321273188691229,h00,1021574717937228960
p2,0.9,0.03134885384492974,0.03134885384492974,0.347344266519757,0.017619708432595978,0.030589771584368017,0.032177562603762616,0.016142194802583096,0.03618078145406556,0.0027048395358194766,0.0063737002102510175,0.0063737002102510175,0.617773331340661,h00,1021574717937228960
p2,1.0,0.02419527713931593,0.02419527713931593,0.35946156179325894,0.014086210908030253,0.024455227270885855,0.033441260408662736,0.012491654703940277,0.02799853640538338,0.002774708808897529,0.0042099371453034025,0.0042099371453034025,0.6043224689891808,h00,1021574717937228960
p2,1.1,0.01880521446913218,0.01880521446913218,0.3706088110534561,0.011390839233658707,0.019775762558435255,0.03451837662925096,0.009785500831454009,0.021933019104983124,0.002843448860474546,0.00277798563418975,0.00277798563418975,0.5920293634568184,h00,1021574717937228960
p2,1.2,0.014743226186144874,0.014743226186144874,0.38068584503678404,0.00934311562805177,0.016220686854256545,0.03542260426440976,0.007766254594535709,0.017407122367062797,0.0029117113818615302,0.0018435124453326445,0.0018435124453326445,0.5809798393169446,h00,1021574717937228960
p2,1.3,0.011664543084063434,0.011664543084063434,0.38969991612795796,0.007777745644563859,0.013503030632923366,0.036171001156156964,0.006238018781218456,0.013981766233765503,0.002979857329760418,0.0012369890217307437,0.0012369890217307437,0.5711492253861244,h00,1021574717937228960
p3,0.7,0.06720692141840284,0.06720692141840284,0.39302960945732146,0.035867950336035084,0.04731919569397769,0.04849609697881924,0.15150421004918163,0.36539250658920275,0.00698853134813379,0.015535756848475009,0.015535756848475009,0.5514857622157255,h00,1021574717937228960
p3,0.8,0.052327733021067475,0.052327733021067475,0.4074466865416878,0.02843579869982956,0.03751424630584375,0.0515695211806072,0.1615219250627874,0.3895528780926049,0.007781204203912381,0.010850103096824628,0.010850103096824628,0.5332025880737925,h00,1021574717937228960
p3,0.9,0.040460788459759166,0.040460788459759166,0.4209499471486204,0.022269312619374745,0.02937904039495349,0.054355613577101496,0.17119537887864278,0.41288297258966783,0.008483334627912674,0.007478294252902043,0.007478294252902043,0.5162111046463654,h00,1021574717937228960
p3,1.0,0.03126434418081386,0.03126434418081386,0.43336001957508546,0.017350915544568076,0.022890389900485586,0.05684025769727006,0.18027012990037639,0.4347691368185548,0.009090110858371397,0.005123344963132889,0.005123344963132889,0.5007096118692731,h00,1021574717937228960
p3,1.1,0.024274856661781627,0.024274856661781627,0.4446080855983755,0.013529953987020333,0.01784954351849648,0.059034772126528565,0.18872113498049264,0.45515097260001164,0.009605283526832235,0.0035114013005164944,0.0035114013005164944,0.4867518587482637,h00,1021574717937228960
p3,1.2,0.0190173537887788,0.0190173537887788,0.4547004552706534,0.010603838664489405,0.013989233066608714,0.060964662612338544,0.19663117486009757,0.4742281276037647,0.010037098958440807,0.0024198045433398052,0.0024198045433398052,0.4742977831585672,h00,1021574717937228960
p3,1.3,0.015074036115935824,0.015074036115935824,0.46368788034457437,0.008373911367417353,0.011047376474165373,0.0626605459273433,0.20411037377604888,0.4922661955775296,0.010395982743245227,0.0016827722975996091,0.0016827722975996091,0.4632555909848371,h00,1021574717937228960
p1,0.7,0.072083641540916,0.07237313407722488,0.17093072207626644,0.04571487620703277,0.12805844204578745,0.025315204998665658,0.09606200958419327,0.18538282551335544,0.014879771918573122,0.009487244845964525,0.009487244845964525,0.7888743010064948,h00,1026591750036320836
p1,0.8,0.05085124735325007,0.05105546923017076,0.18415518211347923,0.03367513079725432,0.0943321986929298,0.028479491334072658,0.08544117303415455,0.1648864742764386,0.016318818828397405,0.005106956979838729,0.005106956979838729,0.7710465077240508,h00,1026591750036320836
p1,0.9,0.03572915191341511,0.0358726424833485,0.19609638308298644,0.024240893303957522,0.06790461416201765,0.03131519754743675,0.0754632604264021,0.1456308534544602,0.017553704751610853,0.0026753104240546783,0.0026753104240546783,0.755034714617966,h00,1026591750036320836
p1,1.0,0.025329514861247324,0.025431239820529444,0.20661149864228998,0.017278988521686744,0.0484026324427374,0.03377038667924764,0.06658770068644367,0.12850258027208428,0.01860754005440311,0.001393866866340379,0.001393866866340379,0.7410105746240593,h00,1026591750036320836
p1,1.1,0.01822405636202742,0.018297245343401027,0.21572458062366168,0.012296309103865864,0.03444494040896587,0.03584379014216394,0.05887001554128422,0.11360880192177655,0.01950237705611752,0.0007338741987657029,0.0007338741987657029,0.7289292521780569,h00,1026591750036320836
p1,1.2,0.013325439989011163,0.013378955812260203,0.22354999401939127,0.008777661413474969,0.02458835588495162,0.03756340229746412,0.05220493933552318,0.1007463741562728,0.020259228546622616,0.00039509956277443333,0.00039509956277443333,0.718627375136522,h00,1026591750036320836
