hXX,simID,pop,subset_value,prop_ROH_single,prpp_Non_ROH_single,prop_ROH_homo,prop_Non_ROH_homo,mean_count_single,mean_count_homo
h00,1021574717937228960,p1,0.3,0.10171756418746199,0.898282435812538,0.1632106880403553,0.8367893119596447,44.962,24.304
h00,1021574717937228960,p2,0.3,0.160946678905579,0.839053321094421,0.22269255806596788,0.7773074419340321,40.0,27.142
h00,1021574717937228960,p3,0.3,0.21646965935437412,0.7835303406456259,0.2969035762377531,0.703096423762247,40.058,27.46
h00,1021574717937228960,p1,1.0,0.09912549415075587,0.9008745058492441,0.15882029984606225,0.8411797001539378,124.246,64.87
h00,1021574717937228960,p2,1.0,0.17707335125143636,0.8229266487485636,0.255582790179835,0.744417209820165,109.704,70.352
h00,1021574717937228960,p3,1.0,0.21118786809414472,0.7888121319058553,0.3063331886102172,0.6936668113897829,111.442,71.592
h00,1026591750036320836,p1,0.3,0.09307529510000563,0.9069247048999943,0.15279429900165195,0.8472057009983481,27.206,12.606
h00,1026591750036320836,p2,0.3,0.18119446364005404,0.8188055363599459,0.25313022516698985,0.7468697748330103,22.698,14.272
h00,1026591750036320836,p3,0.3,0.1773936648167384,0.8226063351832616,0.24742239819004525,0.7525776018099548,23.37,14.354
h00,1026591750036320836,p1,1.0,0.09627110030625605,0.9037288996937441,0.14809751352568176,0.8519024864743183,109.516,59.678
h00,1026591750036320836,p2,1.0,0.19068164648510963,0.8093183535148905,0.26585034163863347,0.7341496583613664,98.462,65.482
h00,1026591750036320836,p3,1.0,0.20539097759320685,0.7946090224067932,0.29413178486904956,0.7058682151309503,103.688,67.014
h00,103568543989312214,p1,0.3,0.09738907108073437,0.9026109289192656,0.15178807303807304,0.848211926961927,21.606,9.514
h00,103568543989312214,p2,0.3,0.1946460873761372,0.8053539126238628,0.3062100122100122,0.6937899877899878,20.082,10.616
h00,103568543989312214,p3,0.3,0.2287588559012068,0.7712411440987933,0.33605084915084915,0.6639491508491507,18.094,10.2
h00,103568543989312214,p1,1.0,0.09605026272961294,0.903949737270387,0.16505773846846347,0.8349422615315366,107.732,50.986
h00,103568543989312214,p2,1.0,0.1925763914707867,0.8074236085292134,0.3101420223426287,0.6898579776573713,96.664,54.08
h00,103568543989312214,p3,1.0,0.23338893416761364,0.7666110658323865,0.35194427968349296,0.6480557203165069,93.622,55.73
h00,1059344429161942577,p1,0.3,0.1011642257770743,0.8988357742229257,0.17812280828980923,0.8218771917101908,37.964,17.462
h00,1059344429161942577,p2,0.3,0.16646373626229166,0.8335362637377084,0.26478207991101044,0.7352179200889896,33.324,18.82
h00,1059344429161942577,p3,0.3,0.21335038437439563,0.7866496156256044,0.32461024856374837,0.6753897514362517,32.134,19.466
h00,1059344429161942577,p1,1.0,0.10190135213275121,0.8980986478672488,0.1745127402135911,0.8254872597864089,116.308,55.664
h00,1059344429161942577,p2,1.0,0.18693657746129827,0.8130634225387017,0.29989009298631797,0.700109907013682,103.296,59.128
h00,1059344429161942577,p3,1.0,0.2272695522188821,0.7727304477811181,0.34826045571540354,0.6517395442845964,101.462,62.212
