"pop","tau","unit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.7,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,11454,0.0000000000000000000000000000000000000000000000000000000191,0.0000000000000000000000000000000000000000000000000000000191,"***"
"African",0.7,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,19,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000142,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1347,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000381,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,47227,0.0000019,0.0000019,"***"
"African",0.7,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,13188,0.0000000000000000000000000000000000000000000000000000833,0.0000000000000000000000000000000000000000000000000000833,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
