pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p1,0.7,0.04828992084919067,0.048386694237666006,0.18409972596430937,0.09953246557953804,0.12939220525339945,0.06704554075564853,0.07229466952822479,0.11467430338959794,0.014080592745200586,0.012851908767640627,0.012851908767640627,0.7347741405348416,h00,1021574717937228960
p1,0.8,0.03808507046706719,0.03816139325357434,0.19355057313788546,0.08898017954107926,0.11567423340340305,0.07447541605923817,0.06352179166573872,0.1007587040215166,0.015511636089786751,0.008578781556660774,0.008578781556660774,0.7164623747130895,h00,1021574717937228960
p1,0.9,0.030172645068277708,0.030233111290859427,0.20223023765966372,0.07932212508614164,0.10311876261198413,0.08138402591073549,0.05613087670526983,0.08903518373939352,0.016877017288196548,0.005639215253706019,0.005639215253706019,0.6995087191414043,h00,1021574717937228960
p1,1.0,0.02415318800357499,0.024201591185946884,0.21004880208217755,0.0706866457106189,0.09189263942380457,0.08765143341559067,0.05004067147456921,0.07937485820104082,0.01814394830575645,0.003688321667102767,0.003688321667102767,0.6841558161964754,h00,1021574717937228960
p1,1.1,0.01960724379076243,0.019646536864491415,0.2170241240098191,0.0631094744545619,0.08204231679093048,0.09326080444772274,0.04511540631173692,0.07156236863241028,0.019296735967564642,0.002426997192438711,0.002426997192438711,0.6704183355748935,h00,1021574717937228960
p1,1.2,0.016163071297934463,0.01619546222237922,0.22322690985530205,0.0565322298496656,0.07349189880456528,0.09824721644194695,0.04118109804921155,0.06532174173323212,0.020331444107781066,0.0016250535667883578,0.0016250535667883578,0.6581944295949699,h00,1021574717937228960
p1,1.3,0.01352504317009083,0.013552147465020873,0.22874427765590666,0.050842383514428824,0.06609509856875746,0.10266636708302695,0.03805648479128957,0.06036545863445932,0.021251134897382982,0.0011196916248117628,0.0011196916248117628,0.6473382203636834,h00,1021574717937228960
p2,0.7,0.03954993234849242,0.03954993234849242,0.23845977506988658,0.055151163241164015,0.05616208069364971,0.1122991328832874,0.04533843417689356,0.08540495740298555,0.00878458021861623,0.014178918571919174,0.014178918571919174,0.6404565118282098,h00,1021574717937228960
p2,0.8,0.03063233751735944,0.03063233751735944,0.2497232466750565,0.043607415002173786,0.04440673625475946,0.11925543942810293,0.035322581299158974,0.0665378857030669,0.009520681612127059,0.009485469288793628,0.009485469288793628,0.6215006322847134,h00,1021574717937228960
p2,0.9,0.023648098163549975,0.023648098163549975,0.2600231029880857,0.03437200344691828,0.03500204016997788,0.12601775307272295,0.027126198285780022,0.051098187468562366,0.010307658751625738,0.006222682597437263,0.006222682597437263,0.6036514851875656,h00,1021574717937228960
p2,1.0,0.01829338980673033,0.01829338980673033,0.26910529709514835,0.02714928553710251,0.02764693028218178,0.13242562304605612,0.02062798474690134,0.038857366616256016,0.011128177218908509,0.004031857945795184,0.004031857945795184,0.587340902639887,h00,1021574717937228960
p2,1.1,0.014232949696627402,0.014232949696627402,0.2768967406176738,0.02158019137087797,0.021975754960160864,0.13838470394022415,0.015607449237042293,0.02940007879535874,0.011966458194680146,0.00259702878884004,0.00259702878884004,0.5727520972474219,h00,1021574717937228960
p2,1.2,0.011159578839424887,0.011159578839424887,0.2834565144764637,0.01730891393591985,0.017626185270794147,0.14384944765541263,0.011798263641101217,0.022224636161144153,0.012808637872434855,0.0016718078249018825,0.0016718078249018825,0.5598853999956889,h00,1021574717937228960
p2,1.3,0.008822504416775349,0.008822504416775349,0.2889173567237725,0.01402668110790052,0.014283789315580976,0.14880756100160122,0.008939700727280477,0.016839901369993457,0.013642938258656435,0.0010798452645609314,0.0010798452645609314,0.5486321440159699,h00,1021574717937228960
p3,0.7,0.05311604400904879,0.05311604400904879,0.28245015419539754,0.06954297496219711,0.06968233964148007,0.13224494416472563,0.06707985982774123,0.14890254599124977,0.009992949418160193,0.01613148895327039,0.01613148895327039,0.5753119522217166,h00,1021574717937228960
p3,0.8,0.04147876865988602,0.04147876865988602,0.29263422832063746,0.05742250264079132,0.05753757779638409,0.14031083592726384,0.0668706230586634,0.14843808635000005,0.010954985318895325,0.011127177607358709,0.011127177607358709,0.5560999504332034,h00,1021574717937228960
