pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p1,0.7,0.0856065739071766,0.0856065739071766,0.2153519353118705,0.064100503506608,0.1184146705999935,0.0346920896077985,0.0752849748653536,0.1420871356613716,0.0151818345454893,0.0124895930906714,0.0124895930906714,0.7347741405348416,h00,1021574717937228960
p1,0.8,0.0683078719721482,0.0683078719721482,0.2282611171538165,0.0566495194709707,0.10465025734332,0.0381225777600221,0.0678346932749929,0.1280260408288598,0.0171539303730716,0.008336727870256,0.008336727870256,0.7164623747130895,h00,1021574717937228960
p1,0.9,0.0546502462860689,0.0546502462860689,0.2402643195631805,0.0501699248272339,0.0926803191464931,0.0411914159841916,0.0605205150412528,0.1142218171201109,0.0190355453112236,0.0054800508790285,0.0054800508790285,0.6995087191414043,h00,1021574717937228960
p1,1.0,0.0440574901378304,0.0440574901378304,0.2512046062784892,0.0446519380367941,0.0824867862969784,0.0438593217047328,0.0537283667463199,0.1014028330141813,0.0207802558203026,0.0035842822042997,0.0035842822042997,0.6841558161964754,h00,1021574717937228960
p1,1.1,0.0359055089044007,0.0359055089044007,0.2610795712482026,0.040010059671568,0.0739117132864081,0.0461368285768382,0.0476877517052333,0.0900022356126939,0.0223652646000656,0.0023586762405468,0.0023586762405468,0.6704183355748935,h00,1021574717937228960
p1,1.2,0.0296221501153741,0.0296221501153741,0.2699607524188699,0.0361160149240815,0.0667181344399064,0.0480600646908128,0.0424753985436017,0.0801648366879244,0.0237847532953472,0.0015794936313509,0.0015794936313509,0.6581944295949699,h00,1021574717937228960
p1,1.3,0.0247377889091294,0.0247377889091294,0.2779435485713667,0.0328337410745833,0.0606546972522837,0.049674882772836,0.0380649818719072,0.0718409517019095,0.0250433482921137,0.0010885069714574,0.0010885069714574,0.6473382203636834,h00,1021574717937228960
p2,0.7,0.0607879618417038,0.0607879618417038,0.2926144450938797,0.0412575925228304,0.0495884525514789,0.0639304148563671,0.0160945367426503,0.0544374036883762,0.0029986282215433,0.0136199508445222,0.0136199508445222,0.6404565118282098,h00,1021574717937228960
p2,0.8,0.0470843011053605,0.0470843011053605,0.3078830118717637,0.0334168382332275,0.0401644690303215,0.0675529605194916,0.012072114349365,0.0408321514757934,0.003063395324031,0.0091115382796522,0.0091115382796522,0.6215006322847134,h00,1021574717937228960
p2,0.9,0.0362918026880452,0.0362918026880452,0.3225470270097119,0.0271728477610116,0.0326596727896774,0.0706721387444173,0.0091226732413783,0.030856100669368,0.0031293490583051,0.0059774396231194,0.0059774396231194,0.6036514851875656,h00,1021574717937228960
p2,1.0,0.027964468253057,0.027964468253057,0.3361594401303338,0.0223295009926167,0.0268383425392027,0.0733029182850999,0.0069870526623004,0.0236326781224868,0.0031967389446792,0.0038730410825986,0.0038730410825986,0.5873409026398869,h00,1021574717937228960
p2,1.1,0.0216164258039619,0.0216164258039619,0.3484894944918313,0.0186107494882808,0.0223686892887991,0.0754923781310963,0.0054393893849591,0.0183979346844205,0.0032660301296503,0.0024948131013853,0.0024948131013853,0.5727520972474219,h00,1021574717937228960
p2,1.2,0.0167973080077704,0.0167973080077704,0.3594788447548052,0.0157433341992725,0.0189222766818179,0.0772981980620437,0.0043039592196695,0.0145575091253529,0.0033375571874621,0.0016060803889594,0.0016060803889594,0.5598853999956889,h00,1021574717937228960
p2,1.3,0.0131327045362513,0.0131327045362513,0.3691792455498686,0.0134993153970908,0.0162251386984265,0.0787772741084682,0.0034544194173846,0.0116840656764479,0.0034113363256931,0.0010374508947023,0.0010374508947023,0.5486321440159699,h00,1021574717937228960
p3,0.7,0.0756733383010909,0.0756733383010909,0.3285359780694746,0.0493235019738829,0.0529222124183293,0.0877881388223684,0.0570698062612963,0.2777397238049754,0.0083639308864402,0.0156125801561126,0.0156125801561126,0.5753119522217166,h00,1021574717937228960
p3,0.8,0.059895897862722,0.059895897862722,0.3418973531047142,0.0395399197742648,0.0424248066247476,0.0926882396817229,0.0610414519605798,0.2970683995414888,0.0093144567803595,0.010769218760328,0.010769218760328,0.5560999504332034,h00,1021574717937228960
p3,0.9,0.0471776526054881,0.0471776526054881,0.3544064873191635,0.0314204546042704,0.0337129341247536,0.0969657842116176,0.0648141178514362,0.3154287068769897,0.0101654209597898,0.0072902454898786,0.0072902454898786,0.538462307509429,h00,1021574717937228960
p3,1.0,0.037178227761585,0.037178227761585,0.3657520247098559,0.0249170026421965,0.0267349813757473,0.1005966169835428,0.0682939291619716,0.332363788588262,0.0109082263591287,0.0048725645665567,0.0048725645665567,0.5227431319474726,h00,1021574717937228960
p3,1.1,0.029447473139654,0.029447473139654,0.3757911286440151,0.019821303334532,0.0212674928482103,0.1036118805295688,0.0714870577136545,0.3479036808731189,0.0115444124237027,0.0032323205007466,0.0032323205007466,0.5090525784027132,h00,1021574717937228960
p3,1.2,0.0235207956308265,0.0235207956308265,0.3845060353043401,0.0158682196541823,0.0170259867534144,0.1060776739964445,0.0744431386153096,0.3622899412611735,0.0120811290410124,0.0021366833727745,0.0021366833727745,0.4973351616582029,h00,1021574717937228960
p3,1.3,0.0189842926281723,0.0189842926281723,0.3919594973212011,0.0128041716552004,0.0137383816042922,0.1080752172044466,0.0772194147246358,0.3758011516598942,0.0125285892724592,0.0014112925421422,0.0014112925421422,0.487436696201893,h00,1021574717937228960
p1,0.7,0.0677652655689573,0.067901067704366,0.2186638559788506,0.0657033226695665,0.1464762147587584,0.0385040380885325,0.0838058810089928,0.1846348315979374,0.0170837879986083,0.0087750697365013,0.0087750697365013,0.7257483179340085,h00,1026591750036320836
p1,0.8,0.0452531019418072,0.0453437895208489,0.2327646484904008,0.0505941228945902,0.1127924024163801,0.0432657451028264,0.0728665036021446,0.1605340157484748,0.0188672421957923,0.0046632994655162,0.0046632994655162,0.7051023642109804,h00,1026591750036320836
p1,0.9,0.0300442327194559,0.0301044416026612,0.2454704881256612,0.0381883051215495,0.0851353958214361,0.0474815298168915,0.0629625755816994,0.1387144243284315,0.0204191354462321,0.0024044232236755,0.0024044232236755,0.686628846611215,h00,1026591750036320836
p1,1.0,0.0201480767150514,0.020188453622296,0.2566267670814914,0.0286139405490589,0.0637907114992782,0.051100021690143,0.0545001034373067,0.1200705403853163,0.0217526577273022,0.0012288253569254,0.0012288253569254,0.6705205535010632,h00,1026591750036320836
p1,1.1,0.0137583964220449,0.0137859683587624,0.2662565544890032,0.0214406024403622,0.0477987742477799,0.0541369084965858,0.0474239325777061,0.1044808514602589,0.0228874313828146,0.0006325022980059,0.0006325022980059,0.6567191056315964,h00,1026591750036320836
p1,1.2,0.009593605405174,0.0096128310673086,0.2744855202312164,0.0161269919193448,0.0359528351963375,0.0566438914656421,0.0415253382237493,0.0914855107741977,0.0238467247806421,0.0003320208499746,0.0003320208499746,0.6450238635224992,h00,1026591750036320836
p1,1.3,0.006829956284008,0.0068436435711503,0.2814841902286542,0.0121980835635505,0.0271938927150714,0.0586890085982574,0.0365844001709036,0.0806000066265219,0.024654879054881,0.0001796211136825,0.0001796211136825,0.6351719221182073,h00,1026591750036320836
p2,0.7,0.04392009114992,0.04392009114992,0.2960147048618848,0.0233341744822029,0.0283181729152948,0.0438696461519442,0.008189882861664,0.0367494743792619,0.0036396445811988,0.0098432850547824,0.0098432850547824,0.6564760044049722,h00,1026591750036320836
p2,0.8,0.0272666799602118,0.0272666799602118,0.3047563339720701,0.0155523054227758,0.0188741570664755,0.0467053139812646,0.004558143693898,0.0204532088828756,0.0036940414359188,0.0053597642292282,0.0053597642292282,0.6448443106107463,h00,1026591750036320836
p2,0.9,0.0168309980463139,0.0168309980463139,0.3125520206706199,0.010256699416056,0.0124474507476408,0.0492896516497228,0.0024347798861637,0.0109252943609912,0.0037460728345596,0.0028226303744392,0.0028226303744392,0.6344122548450976,h00,1026591750036320836
