"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2085,0.00000000000000000000000000000000000000000000000000000000000000000000000000000285,0.0000000000000000000000000000000000000000000000000000000000000000000000000000057,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,73613,0.000676,0.000676,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,1037,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000613,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000184,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Long ROH",500,500,32350,0.00000000000000000000752,0.00000000000000000000752,"***"
"African",0.7,"additive","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,100927,0.0000000000000000000000000000000216,0.0000000000000000000000000000000432,"***"
