pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p1,A,486,14,0,h00,1021574717937228960
p1,B,147,337,16,h00,1021574717937228960
p1,C,46,88,366,h00,1021574717937228960
p1,Non-ROH,500,0,0,h00,1021574717937228960
p2,A,498,2,0,h00,1021574717937228960
p2,B,263,237,0,h00,1021574717937228960
p2,C,21,94,385,h00,1021574717937228960
p2,Non-ROH,500,0,0,h00,1021574717937228960
p3,A,500,0,0,h00,1021574717937228960
p3,B,370,130,0,h00,1021574717937228960
p3,C,29,190,281,h00,1021574717937228960
p3,Non-ROH,500,0,0,h00,1021574717937228960
p1,A,416,84,0,h00,1026591750036320836
p1,B,81,405,14,h00,1026591750036320836
p1,C,32,109,359,h00,1026591750036320836
p1,Non-ROH,500,0,0,h00,1026591750036320836
p2,A,495,5,0,h00,1026591750036320836
p2,B,174,326,0,h00,1026591750036320836
p2,C,12,163,325,h00,1026591750036320836
p2,Non-ROH,500,0,0,h00,1026591750036320836
p3,A,481,19,0,h00,1026591750036320836
p3,B,230,270,0,h00,1026591750036320836
p3,C,14,92,394,h00,1026591750036320836
p3,Non-ROH,500,0,0,h00,1026591750036320836
p1,A,369,131,0,h00,103568543989312214
p1,B,87,394,19,h00,103568543989312214
p1,C,18,108,374,h00,103568543989312214
p1,Non-ROH,500,0,0,h00,103568543989312214
p2,A,478,22,0,h00,103568543989312214
p2,B,199,301,0,h00,103568543989312214
p2,C,17,113,370,h00,103568543989312214
p2,Non-ROH,500,0,0,h00,103568543989312214
p3,A,472,28,0,h00,103568543989312214
p3,B,299,201,0,h00,103568543989312214
p3,C,9,114,377,h00,103568543989312214
p3,Non-ROH,500,0,0,h00,103568543989312214
p1,A,475,25,0,h00,1059344429161942577
p1,B,137,349,14,h00,1059344429161942577
p1,C,32,106,362,h00,1059344429161942577
p1,Non-ROH,500,0,0,h00,1059344429161942577
p2,A,495,5,0,h00,1059344429161942577
p2,B,264,236,0,h00,1059344429161942577
p2,C,17,124,359,h00,1059344429161942577
p2,Non-ROH,500,0,0,h00,1059344429161942577
p3,A,496,4,0,h00,1059344429161942577
p3,B,349,151,0,h00,1059344429161942577
p3,C,24,110,366,h00,1059344429161942577
p3,Non-ROH,500,0,0,h00,1059344429161942577
p1,A,458,42,0,h00,1061286463616756465
p1,B,129,356,15,h00,1061286463616756465
p1,C,45,99,356,h00,1061286463616756465
p1,Non-ROH,500,0,0,h00,1061286463616756465
p2,A,490,10,0,h00,1061286463616756465
p2,B,282,218,0,h00,1061286463616756465
p2,C,22,144,334,h00,1061286463616756465
p2,Non-ROH,500,0,0,h00,1061286463616756465
p3,A,498,2,0,h00,1061286463616756465
p3,B,332,168,0,h00,1061286463616756465
p3,C,25,139,336,h00,1061286463616756465
p3,Non-ROH,500,0,0,h00,1061286463616756465
p1,A,438,62,0,h00,1077681494354284445
p1,B,133,355,12,h00,1077681494354284445
p1,C,23,84,393,h00,1077681494354284445
p1,Non-ROH,500,0,0,h00,1077681494354284445
p2,A,490,10,0,h00,1077681494354284445
p2,B,249,251,0,h00,1077681494354284445
p2,C,24,127,349,h00,1077681494354284445
p2,Non-ROH,500,0,0,h00,1077681494354284445
p3,A,496,4,0,h00,1077681494354284445
p3,B,335,165,0,h00,1077681494354284445
p3,C,30,168,302,h00,1077681494354284445
p3,Non-ROH,500,0,0,h00,1077681494354284445
p1,A,418,82,0,h00,1125400568553395400
p1,B,71,418,11,h00,1125400568553395400
p1,C,16,117,367,h00,1125400568553395400
p1,Non-ROH,500,0,0,h00,1125400568553395400
p2,A,492,8,0,h00,1125400568553395400
p2,B,198,302,0,h00,1125400568553395400
p2,C,25,100,375,h00,1125400568553395400
p2,Non-ROH,500,0,0,h00,1125400568553395400
p3,A,491,9,0,h00,1125400568553395400
p3,B,282,218,0,h00,1125400568553395400
p3,C,20,162,318,h00,1125400568553395400
p3,Non-ROH,500,0,0,h00,1125400568553395400
p1,A,457,43,0,h00,1125644244035275340
p1,B,99,388,13,h00,1125644244035275340
p1,C,43,88,369,h00,1125644244035275340
p1,Non-ROH,500,0,0,h00,1125644244035275340
p2,A,496,4,0,h00,1125644244035275340
p2,B,198,302,0,h00,1125644244035275340
p2,C,24,105,371,h00,1125644244035275340
p2,Non-ROH,500,0,0,h00,1125644244035275340
p3,A,498,2,0,h00,1125644244035275340
p3,B,241,259,0,h00,1125644244035275340
p3,C,13,140,347,h00,1125644244035275340
p3,Non-ROH,500,0,0,h00,1125644244035275340
p1,A,443,57,0,h00,1133874929495765677
p1,B,87,402,11,h00,1133874929495765677
p1,C,25,85,390,h00,1133874929495765677
p1,Non-ROH,500,0,0,h00,1133874929495765677
p2,A,497,3,0,h00,1133874929495765677
p2,B,204,296,0,h00,1133874929495765677
p2,C,16,150,334,h00,1133874929495765677
p2,Non-ROH,500,0,0,h00,1133874929495765677
p3,A,500,0,0,h00,1133874929495765677
p3,B,254,246,0,h00,1133874929495765677
p3,C,17,123,360,h00,1133874929495765677
p3,Non-ROH,500,0,0,h00,1133874929495765677
p1,A,422,78,0,h00,1152801672532746091
p1,B,84,409,7,h00,1152801672532746091
p1,C,68,75,357,h00,1152801672532746091
p1,Non-ROH,500,0,0,h00,1152801672532746091
p2,A,489,11,0,h00,1152801672532746091
p2,B,203,296,1,h00,1152801672532746091
p2,C,70,49,381,h00,1152801672532746091
p2,Non-ROH,500,0,0,h00,1152801672532746091
p3,A,494,6,0,h00,1152801672532746091
p3,B,262,238,0,h00,1152801672532746091
p3,C,82,57,361,h00,1152801672532746091
p3,Non-ROH,500,0,0,h00,1152801672532746091
p1,A,408,92,0,h00,1159453151904288212
p1,B,75,413,12,h00,1159453151904288212
p1,C,21,103,376,h00,1159453151904288212
p1,Non-ROH,500,0,0,h00,1159453151904288212
p2,A,482,18,0,h00,1159453151904288212
p2,B,211,289,0,h00,1159453151904288212
p2,C,20,175,305,h00,1159453151904288212
p2,Non-ROH,500,0,0,h00,1159453151904288212
p3,A,497,3,0,h00,1159453151904288212
p3,B,273,227,0,h00,1159453151904288212
p3,C,10,130,360,h00,1159453151904288212
p3,Non-ROH,500,0,0,h00,1159453151904288212
p1,A,428,72,0,h00,1159482635262466889
p1,B,90,399,11,h00,1159482635262466889
